Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 9 3 1 3 9 2
Vardas2 Pavarde2 5 5 7 9 2 5
Vardas3 Pavarde3 1 3 5 2 2 6
Vardas4 Pavarde4 7 1 9 8 3 6
Vardas5 Pavarde5 8 4 7 7 2 5
Vardas6 Pavarde6 1 8 6 8 5 10
Vardas7 Pavarde7 7 2 2 8 2 7
Vardas8 Pavarde8 10 4 4 10 7 8
Vardas9 Pavarde9 4 2 4 8 1 10
Vardas10 Pavarde10 4 2 1 7 5 2
Vardas11 Pavarde11 8 9 4 7 9 6
Vardas12 Pavarde12 1 3 8 8 5 5
Vardas13 Pavarde13 4 10 9 2 9 1
Vardas14 Pavarde14 2 9 7 8 3 9
Vardas15 Pavarde15 7 3 7 4 5 1
Vardas16 Pavarde16 7 10 7 7 10 4
Vardas17 Pavarde17 4 4 5 10 9 3
Vardas18 Pavarde18 2 7 7 4 5 4
Vardas19 Pavarde19 3 2 4 3 6 2
Vardas20 Pavarde20 9 1 7 3 1 7
Vardas21 Pavarde21 8 8 9 5 2 7
Vardas22 Pavarde22 4 8 10 7 8 6
Vardas23 Pavarde23 4 2 10 4 6 5
Vardas24 Pavarde24 5 3 8 6 1 7
Vardas25 Pavarde25 1 5 4 10 8 3
Vardas26 Pavarde26 6 1 3 9 3 10
Vardas27 Pavarde27 6 8 5 1 10 2
Vardas28 Pavarde28 2 7 4 9 9 7
Vardas29 Pavarde29 8 6 5 1 9 4
Vardas30 Pavarde30 9 2 7 6 4 8
Vardas31 Pavarde31 2 5 10 10 1 8
Vardas32 Pavarde32 3 5 10 9 8 7
Vardas33 Pavarde33 2 4 4 2 5 9
Vardas34 Pavarde34 10 3 6 10 3 4
Vardas35 Pavarde35 6 6 3 5 1 2
Vardas36 Pavarde36 5 10 4 7 10 1
Vardas37 Pavarde37 7 2 7 7 6 5
Vardas38 Pavarde38 5 9 8 7 10 4
Vardas39 Pavarde39 4 8 8 4 7 6
Vardas40 Pavarde40 3 2 2 8 5 2
Vardas41 Pavarde41 5 8 5 10 4 5
Vardas42 Pavarde42 5 5 4 9 5 9
Vardas43 Pavarde43 7 3 7 2 6 3
Vardas44 Pavarde44 5 9 7 7 2 4
Vardas45 Pavarde45 4 2 3 2 5 3
Vardas46 Pavarde46 3 9 7 3 2 8
Vardas47 Pavarde47 9 5 5 10 2 9
Vardas48 Pavarde48 2 6 3 5 7 5
Vardas49 Pavarde49 5 1 6 9 4 4
Vardas50 Pavarde50 9 9 7 2 6 7
Vardas51 Pavarde51 6 3 1 7 6 3
Vardas52 Pavarde52 6 5 1 9 4 6
Vardas53 Pavarde53 10 6 7 3 5 2
Vardas54 Pavarde54 1 9 5 9 8 7
Vardas55 Pavarde55 2 5 6 1 4 4
Vardas56 Pavarde56 2 7 9 3 4 4
Vardas57 Pavarde57 4 6 10 7 10 10
Vardas58 Pavarde58 4 7 8 5 9 2
Vardas59 Pavarde59 10 7 4 1 2 9
Vardas60 Pavarde60 8 7 6 7 5 8
Vardas61 Pavarde61 1 5 1 7 7 1
Vardas62 Pavarde62 3 7 2 8 9 7
Vardas63 Pavarde63 7 4 9 3 6 10
Vardas64 Pavarde64 7 7 6 7 2 1
Vardas65 Pavarde65 1 2 6 2 5 8
Vardas66 Pavarde66 4 7 2 9 7 7
Vardas67 Pavarde67 1 7 10 2 3 5
Vardas68 Pavarde68 7 2 9 4 4 3
Vardas69 Pavarde69 9 5 2 5 1 9
Vardas70 Pavarde70 5 4 3 4 6 8
Vardas71 Pavarde71 2 1 3 6 5 6
Vardas72 Pavarde72 8 9 8 5 2 2
Vardas73 Pavarde73 2 6 5 4 1 9
Vardas74 Pavarde74 10 7 8 8 3 1
Vardas75 Pavarde75 6 9 7 4 4 10
Vardas76 Pavarde76 3 8 1 5 1 3
Vardas77 Pavarde77 1 1 8 7 7 2
Vardas78 Pavarde78 1 5 3 3 4 6
Vardas79 Pavarde79 4 2 4 3 5 5
Vardas80 Pavarde80 8 4 9 3 1 10
Vardas81 Pavarde81 5 5 6 5 2 6
Vardas82 Pavarde82 9 8 6 3 4 5
Vardas83 Pavarde83 4 3 1 3 7 10
Vardas84 Pavarde84 8 3 6 3 1 9
Vardas85 Pavarde85 10 1 3 2 7 3
Vardas86 Pavarde86 4 8 1 2 2 7
Vardas87 Pavarde87 10 7 3 8 5 2
Vardas88 Pavarde88 10 1 8 4 9 7
Vardas89 Pavarde89 9 6 8 1 6 3
Vardas90 Pavarde90 1 3 4 4 5 8
Vardas91 Pavarde91 3 7 1 10 10 2
Vardas92 Pavarde92 10 2 1 9 3 6
Vardas93 Pavarde93 6 10 9 9 4 10
Vardas94 Pavarde94 5 7 2 1 4 10
Vardas95 Pavarde95 10 4 3 3 2 2
Vardas96 Pavarde96 8 7 3 1 6 10
Vardas97 Pavarde97 6 1 2 2 4 8
Vardas98 Pavarde98 2 10 3 8 5 7
Vardas99 Pavarde99 9 2 10 5 9 6
Vardas100 Pavarde100 1 3 4 10 1 8
Vardas101 Pavarde101 3 7 1 2 2 7
Vardas102 Pavarde102 8 5 4 2 3 7
Vardas103 Pavarde103 9 3 3 5 10 3
Vardas104 Pavarde104 10 2 9 8 4 4
Vardas105 Pavarde105 10 4 9 5 1 10
Vardas106 Pavarde106 4 7 1 6 10 4
Vardas107 Pavarde107 7 10 9 7 10 8
Vardas108 Pavarde108 3 8 10 7 7 10
Vardas109 Pavarde109 6 6 4 1 1 6
Vardas110 Pavarde110 8 6 3 2 3 9
Vardas111 Pavarde111 9 4 5 1 8 8
Vardas112 Pavarde112 3 3 4 6 9 7
Vardas113 Pavarde113 6 3 2 9 5 10
Vardas114 Pavarde114 1 4 8 3 9 7
Vardas115 Pavarde115 1 4 6 2 8 6
Vardas116 Pavarde116 5 5 8 1 8 4
Vardas117 Pavarde117 6 3 10 3 4 7
Vardas118 Pavarde118 3 10 7 4 5 4
Vardas119 Pavarde119 7 10 1 7 1 8
Vardas120 Pavarde120 1 6 5 10 10 9
Vardas121 Pavarde121 2 2 6 1 2 4
Vardas122 Pavarde122 3 5 5 6 3 5
Vardas123 Pavarde123 7 9 10 4 10 3
Vardas124 Pavarde124 9 7 9 8 5 10
Vardas125 Pavarde125 3 8 5 9 1 8
Vardas126 Pavarde126 2 7 3 6 1 3
Vardas127 Pavarde127 8 3 9 3 2 3
Vardas128 Pavarde128 3 1 7 8 1 1
Vardas129 Pavarde129 10 7 7 6 1 3
Vardas130 Pavarde130 6 4 7 8 8 4
Vardas131 Pavarde131 10 4 5 3 5 4
Vardas132 Pavarde132 1 1 8 8 7 7
Vardas133 Pavarde133 1 7 6 9 6 8
Vardas134 Pavarde134 1 5 8 2 10 4
Vardas135 Pavarde135 6 6 7 9 1 5
Vardas136 Pavarde136 6 10 5 5 3 8
Vardas137 Pavarde137 6 10 7 1 8 8
Vardas138 Pavarde138 6 2 1 9 5 10
Vardas139 Pavarde139 9 7 9 3 8 5
Vardas140 Pavarde140 6 9 5 1 8 3
Vardas141 Pavarde141 1 3 10 10 3 9
Vardas142 Pavarde142 3 7 4 8 4 7
Vardas143 Pavarde143 8 10 8 8 7 6
Vardas144 Pavarde144 4 8 2 2 1 8
Vardas145 Pavarde145 9 3 3 2 9 5
Vardas146 Pavarde146 3 6 3 8 1 5
Vardas147 Pavarde147 1 6 10 4 6 5
